"Drink","Calories","Fat","Carb","Fiber","Protein","Sodium"
"Starbucks® Bottled Cold Brew Cocoa and Honey with Cream","NA","NA","NA","NA","NA","NA"
"Starbucks® Bottled Dulce de Leche Frappuccino® Coffee Drink","NA","NA","NA","NA","NA","NA"
"Starbucks® Bottled Mocha Frappuccino® Coffee Drink","NA","NA","NA","NA","NA","NA"
"Starbucks® Bottled Mocha Light Frappuccino® Coffee Drink","NA","NA","NA","NA","NA","NA"
"Starbucks® Bottled S'mores Frappuccino® Coffee Drink","NA","NA","NA","NA","NA","NA"
"Starbucks® Bottled Vanilla Frappuccino® Coffee Drink","NA","NA","NA","NA","NA","NA"
"Starbucks® Bottled Vanilla Light Frappuccino® Coffee Drink","NA","NA","NA","NA","NA","NA"
"Starbucks® Caramel Iced Coffee","NA","NA","NA","NA","NA","NA"
"Starbucks® Doubleshot Protein Dark Chocolate","210","2.5","33","2","20","115"
"Starbucks® Doubleshot Protein Vanilla","200","2.5","34","2","20","120"
"Starbucks® Iced Coffee + Milk","NA","NA","NA","NA","NA","NA"
"Starbucks® Iced Coffee Caramel","60","0","13","0","1","0"
"Starbucks® Iced Coffee Light Sweetened","50","0","11","0","1","0"
"Starbucks® Iced Coffee Unsweetened","10","0","2","0","1","0"
"Starbucks® Low Calorie Iced Coffee + Milk","NA","NA","NA","NA","NA","NA"
"Starbucks® Refreshers™ - Black Cherry Limeade with Coconut Water","NA","NA","NA","NA","NA","NA"
"Starbucks® Vanilla Iced Coffee","NA","NA","NA","NA","NA","NA"
"Tazo® Bottled Berry Blossom White","60","0","15","0","0","10"
"Tazo® Bottled Black Mango","150","0","38","0","0","15"
"Tazo® Bottled Black with Lemon","140","0","35","0","0","10"
"Tazo® Bottled Brambleberry","140","0","35","0","0","15"
"Tazo® Bottled Giant Peach","150","0","37","0","0","15"
"Tazo® Bottled Iced Passion","70","0","17","0","0","10"
"Tazo® Bottled Lemon Ginger","120","0","31","0","0","10"
"Tazo® Bottled Organic Black Lemonade","140","0","35","0","0","10"
"Tazo® Bottled Organic Iced Black Tea","60","0","15","0","0","10"
"Tazo® Bottled Organic Iced Green Tea","120","0","31","0","0","10"
"Tazo® Bottled Plum Pomegranate","140","0","35","0","0","10"
"Tazo® Bottled Tazoberry","150","0","38","0","0","15"
"Tazo® Bottled White Cranberry","140","0","35","0","0","10"
"Teavana® Mango Black Tea","NA","NA","NA","NA","NA","NA"
"Teavana® Passion Tango® Herbal Tea","NA","NA","NA","NA","NA","NA"
"Teavana® Peach Green Tea","NA","NA","NA","NA","NA","NA"
"White Chocolate Mocha Bottled Frappuccino","NA","NA","NA","NA","NA","NA"
"Blonde Roast","5","0","0","0","1","10"
"Caffè Misto","NA","NA","NA","NA","NA","NA"
"Clover® Brewed Coffee","10","0","0","0","1","10"
"Coffee Traveler","NA","NA","NA","NA","NA","NA"
"Decaf Pike Place® Roast","5","0","0","0","1","10"
"Featured Dark Roast","5","0","0","0","1","10"
"Iced Coffee","5","0","0","0","0","5"
"Iced Coffee with Milk","NA","NA","NA","NA","NA","NA"
"Nariño 70 Cold Brew","5","0","0","0","0","15"
"Nariño 70 Cold Brew with Milk","0","0","0","0","0","0"
"Nitro Cold Brew","5","0","0","0","0","10"
"Nitro Cold Brew with Sweet Cream","70","5","5","0","1","20"
"Pike Place® Roast","5","0","0","0","1","10"
"Toasted Coconut Cold Brew","NA","NA","NA","NA","NA","NA"
"Vanilla Sweet Cream Cold Brew","110","6","14","0","1","25"
"Hot Chocolate","320","9","47","4","14","160"
"Starbucks® Signature Hot Chocolate","430","26","45","5","12","115"
"Caffè Americano","NA","NA","NA","NA","NA","NA"
"Caffè Latte","190","7","19","0","13","170"
"Caffè Mocha","290","8","42","4","13","140"
"Cappuccino","120","4","12","0","8","100"
"Caramel Macchiato","250","7","35","0","10","150"
"Cascara Coconutmilk Latte","NA","NA","NA","NA","NA","NA"
"Cinnamon Dolce Latte","260","6","40","0","11","150"
"Coconutmilk Mocha Macchiato","250","9","32","0","12","180"
"Espresso","NA","NA","NA","NA","NA","NA"
"Espresso Con Panna","NA","NA","NA","NA","NA","NA"
"Espresso Macchiato","NA","NA","NA","NA","NA","NA"
"Flat White","180","7","18","0","12","160"
"Iced Caffè Americano","NA","NA","NA","NA","NA","NA"
"Iced Caffè Latte","130","4.5","13","0","8","115"
"Iced Caffè Mocha","230","6","36","4","9","90"
"Iced Caramel Macchiato","250","7","37","0","10","150"
"Iced Cascara Coconutmilk Latte","NA","NA","NA","NA","NA","NA"
"Iced Cinnamon Dolce Latte","200","4","34","0","7","95"
"Iced Coconutmilk Mocha Macchiato","260","9","34","0","11","180"
"Iced Skinny Cinnamon Dolce Latte","NA","NA","NA","NA","NA","NA"
"Iced Skinny Mocha","NA","NA","NA","NA","NA","NA"
"Iced Vanilla Latte","190","4","30","0","7","100"
"Iced White Chocolate Mocha","300","8","47","0","10","190"
"Latte Macchiato","190","7","19","0","12","160"
"Latte Macchiato","190","7","19","0","12","160"
"Skinny Mocha","NA","NA","NA","NA","NA","NA"
"Starbucks Doubleshot® on Ice Beverage","45","1","5","0","3","40"
"Vanilla Latte","250","6","37","0","12","150"
"White Chocolate Mocha","360","11","53","0","14","240"
"Caffè Vanilla Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Caffè Vanilla Light Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Caramel Cocoa Cluster Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Caramel Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Caramel Light Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Chai Crème Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"Cinnamon Dolce Frappuccino® Blended Coffee","350","4.5","64","0","15","0"
"Cinnamon Dolce Light Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Cinnamon Roll Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Coffee Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Coffee Light Frappuccino® Blended Coffee","110","0","24","0","3","200"
"Cupcake Crème Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"Green Tea Crème Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"Java Chip Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Java Chip Light Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Lemon Bar Crème Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"Midnight Mint Mocha Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Midnight Mint Mocha Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"Mocha Frappuccino® Blended Coffee","280","2.5","60","2","4","220"
"Mocha Light Frappuccino® Blended Coffee","140","0.5","28","1","4","180"
"Oprah Cinnamon Chai Crème Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"Red Velvet Cake Crème Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"S'mores Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"S'mores Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"Strawberries & Crème Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"The Pokémon™ GO Frappuccino® Blended Beverage","NA","NA","NA","NA","NA","NA"
"Vanilla Bean Crème Frappuccino® Blended Crème","NA","NA","NA","NA","NA","NA"
"White Chocolate Mocha Frappuccino® Blended Coffee","NA","NA","NA","NA","NA","NA"
"Cinnamon Dolce Crème","200","6","28","0","10","135"
"Organic Chocolate Milk Box","NA","NA","NA","NA","NA","NA"
"Steamed Apple Juice","NA","NA","NA","NA","NA","NA"
"Vanilla Crème","200","6","28","0","10","135"
"Chocolate Smoothie","320","5","53","8","20","170"
"Strawberry Smoothie","300","2","60","7","16","130"
"Ginger Ale","NA","NA","NA","NA","NA","NA"
"Lemon Ale","NA","NA","NA","NA","NA","NA"
"Orange Cream Soda","NA","NA","NA","NA","NA","NA"
